CoC Number,CoC Name,CoC Category,Count Types,Homelessness.Type,Count,Year
AL-507,Alabama Balance of State CoC,Largely Rural CoC,NA,Sheltered.Total.Homeless,492,2007
AL-507,Alabama Balance of State CoC,Largely Rural CoC,NA,Unsheltered.Homeless,192,2007
AL-507,Alabama Balance of State CoC,Largely Rural CoC,NA,Overall.Homeless.Individuals,463,2007
AL-507,Alabama Balance of State CoC,Largely Rural CoC,NA,Overall.Homeless.People.in.Families,221,2007
AR-500,Little Rock/Central Arkansas CoC,Other Largely Urban CoC,NA,Overall.Homeless,1822,2007
AR-500,Little Rock/Central Arkansas CoC,Other Largely Urban CoC,NA,Sheltered.Total.Homeless,1187,2007
AR-500,Little Rock/Central Arkansas CoC,Other Largely Urban CoC,NA,Unsheltered.Homeless,635,2007
AR-500,Little Rock/Central Arkansas CoC,Other Largely Urban CoC,NA,Overall.Homeless.Individuals,1632,2007
AR-500,Little Rock/Central Arkansas CoC,Other Largely Urban CoC,NA,Overall.Homeless.People.in.Families,190,2007
AR-501,Fayetteville/Northwest Arkansas CoC,Other Largely Urban CoC,NA,Overall.Homeless,279,2007
AR-501,Fayetteville/Northwest Arkansas CoC,Other Largely Urban CoC,NA,Sheltered.Total.Homeless,244,2007
AR-501,Fayetteville/Northwest Arkansas CoC,Other Largely Urban CoC,NA,Unsheltered.Homeless,35,2007
AR-501,Fayetteville/Northwest Arkansas CoC,Other Largely Urban CoC,NA,Overall.Homeless.Individuals,157,2007
AR-501,Fayetteville/Northwest Arkansas CoC,Other Largely Urban CoC,NA,Overall.Homeless.People.in.Families,122,2007
AR-502,Conway/Arkansas River Valley,NA,NA,Overall.Homeless,163,2007
AR-502,Conway/Arkansas River Valley,NA,NA,Sheltered.Total.Homeless,59,2007
AR-502,Conway/Arkansas River Valley,NA,NA,Unsheltered.Homeless,104,2007
AR-502,Conway/Arkansas River Valley,NA,NA,Overall.Homeless.Individuals,87,2007
AR-502,Conway/Arkansas River Valley,NA,NA,Overall.Homeless.People.in.Families,76,2007
AR-504,Delta Hills CoC,NA,NA,Overall.Homeless,901,2007
AR-504,Delta Hills CoC,NA,NA,Sheltered.Total.Homeless,391,2007
AR-504,Delta Hills CoC,NA,NA,Unsheltered.Homeless,510,2007
AR-504,Delta Hills CoC,NA,NA,Overall.Homeless.Individuals,626,2007
AR-504,Delta Hills CoC,NA,NA,Overall.Homeless.People.in.Families,275,2007
AR-505,Southeast Arkansas CoC,Largely Rural CoC,NA,Overall.Homeless,130,2007
AR-505,Southeast Arkansas CoC,Largely Rural CoC,NA,Sheltered.Total.Homeless,120,2007
AR-505,Southeast Arkansas CoC,Largely Rural CoC,NA,Unsheltered.Homeless,10,2007
AR-505,Southeast Arkansas CoC,Largely Rural CoC,NA,Overall.Homeless.Individuals,35,2007
AR-505,Southeast Arkansas CoC,Largely Rural CoC,NA,Overall.Homeless.People.in.Families,95,2007
AR-506,"Johnson, Pope, Yell Counties",NA,NA,Overall.Homeless,21,2007
AR-506,"Johnson, Pope, Yell Counties",NA,NA,Sheltered.Total.Homeless,18,2007
AR-506,"Johnson, Pope, Yell Counties",NA,NA,Unsheltered.Homeless,3,2007
AR-506,"Johnson, Pope, Yell Counties",NA,NA,Overall.Homeless.Individuals,21,2007
AR-506,"Johnson, Pope, Yell Counties",NA,NA,Overall.Homeless.People.in.Families,0,2007
AR-508,Fort Smith CoC,Largely Rural CoC,NA,Overall.Homeless,194,2007
AR-508,Fort Smith CoC,Largely Rural CoC,NA,Sheltered.Total.Homeless,147,2007
AR-508,Fort Smith CoC,Largely Rural CoC,NA,Unsheltered.Homeless,47,2007
AR-508,Fort Smith CoC,Largely Rural CoC,NA,Overall.Homeless.Individuals,157,2007
AR-508,Fort Smith CoC,Largely Rural CoC,NA,Overall.Homeless.People.in.Families,37,2007
AR-509,Hot Springs/South West Arkansas CoC,NA,NA,Overall.Homeless,4,2007
AR-509,Hot Springs/South West Arkansas CoC,NA,NA,Sheltered.Total.Homeless,2,2007
AR-509,Hot Springs/South West Arkansas CoC,NA,NA,Unsheltered.Homeless,2,2007
AR-509,Hot Springs/South West Arkansas CoC,NA,NA,Overall.Homeless.Individuals,4,2007
AR-509,Hot Springs/South West Arkansas CoC,NA,NA,Overall.Homeless.People.in.Families,0,2007
AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",NA,NA,Overall.Homeless,322,2007
AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",NA,NA,Sheltered.Total.Homeless,117,2007
AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",NA,NA,Unsheltered.Homeless,205,2007
AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",NA,NA,Overall.Homeless.Individuals,268,2007
AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",NA,NA,Overall.Homeless.People.in.Families,54,2007
AZ-500,Arizona Balance of State CoC,Largely Rural CoC,NA,Overall.Homeless,2997,2007
AZ-500,Arizona Balance of State CoC,Largely Rural CoC,NA,Sheltered.Total.Homeless,1013,2007
AZ-500,Arizona Balance of State CoC,Largely Rural CoC,NA,Unsheltered.Homeless,1984,2007
AZ-500,Arizona Balance of State CoC,Largely Rural CoC,NA,Overall.Homeless.Individuals,2235,2007
AZ-500,Arizona Balance of State CoC,Largely Rural CoC,NA,Overall.Homeless.People.in.Families,762,2007
AZ-501,Tucson/Pima County CoC,Major City CoC,NA,Overall.Homeless,3201,2007
AZ-501,Tucson/Pima County CoC,Major City CoC,NA,Sheltered.Total.Homeless,2010,2007
AZ-501,Tucson/Pima County CoC,Major City CoC,NA,Unsheltered.Homeless,1191,2007
AZ-501,Tucson/Pima County CoC,Major City CoC,NA,Overall.Homeless.Individuals,2258,2007
AZ-501,Tucson/Pima County CoC,Major City CoC,NA,Overall.Homeless.People.in.Families,943,2007
AZ-502,"Phoenix, Mesa/Maricopa County CoC",Major City CoC,NA,Overall.Homeless,8448,2007
AZ-502,"Phoenix, Mesa/Maricopa County CoC",Major City CoC,NA,Sheltered.Total.Homeless,5595,2007
AZ-502,"Phoenix, Mesa/Maricopa County CoC",Major City CoC,NA,Unsheltered.Homeless,2853,2007
AZ-502,"Phoenix, Mesa/Maricopa County CoC",Major City CoC,NA,Overall.Homeless.Individuals,5527,2007
AZ-502,"Phoenix, Mesa/Maricopa County CoC",Major City CoC,NA,Overall.Homeless.People.in.Families,2921,2007
CA-500,San Jose/Santa Clara City & County CoC,Major City CoC,NA,Overall.Homeless,7202,2007
CA-500,San Jose/Santa Clara City & County CoC,Major City CoC,NA,Sheltered.Total.Homeless,2101,2007
CA-500,San Jose/Santa Clara City & County CoC,Major City CoC,NA,Unsheltered.Homeless,5101,2007
CA-500,San Jose/Santa Clara City & County CoC,Major City CoC,NA,Overall.Homeless.Individuals,5945,2007
CA-500,San Jose/Santa Clara City & County CoC,Major City CoC,NA,Overall.Homeless.People.in.Families,1257,2007
CA-501,San Francisco CoC,Major City CoC,NA,Overall.Homeless,5703,2007
CA-501,San Francisco CoC,Major City CoC,NA,Sheltered.Total.Homeless,2912,2007
CA-501,San Francisco CoC,Major City CoC,NA,Unsheltered.Homeless,2791,2007
CA-501,San Francisco CoC,Major City CoC,NA,Overall.Homeless.Individuals,5171,2007
CA-501,San Francisco CoC,Major City CoC,NA,Overall.Homeless.People.in.Families,532,2007
CA-502,"Oakland, Berkeley/Alameda County CoC",Major City CoC,NA,Overall.Homeless,4838,2007
CA-502,"Oakland, Berkeley/Alameda County CoC",Major City CoC,NA,Sheltered.Total.Homeless,2342,2007
CA-502,"Oakland, Berkeley/Alameda County CoC",Major City CoC,NA,Unsheltered.Homeless,2496,2007
CA-502,"Oakland, Berkeley/Alameda County CoC",Major City CoC,NA,Overall.Homeless.Individuals,3026,2007
CA-502,"Oakland, Berkeley/Alameda County CoC",Major City CoC,NA,Overall.Homeless.People.in.Families,1812,2007
CA-503,Sacramento City & County CoC,Major City CoC,NA,Overall.Homeless,2452,2007
CA-503,Sacramento City & County CoC,Major City CoC,NA,Sheltered.Total.Homeless,1447,2007
CA-503,Sacramento City & County CoC,Major City CoC,NA,Unsheltered.Homeless,1005,2007
CA-503,Sacramento City & County CoC,Major City CoC,NA,Overall.Homeless.Individuals,1965,2007
CA-503,Sacramento City & County CoC,Major City CoC,NA,Overall.Homeless.People.in.Families,487,2007
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Other Largely Urban CoC,NA,Overall.Homeless,1314,2007
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Other Largely Urban CoC,NA,Sheltered.Total.Homeless,782,2007
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Other Largely Urban CoC,NA,Unsheltered.Homeless,532,2007
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Other Largely Urban CoC,NA,Overall.Homeless.Individuals,888,2007
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Other Largely Urban CoC,NA,Overall.Homeless.People.in.Families,426,2007
CA-505,Richmond/Contra Costa County CoC,Largely Suburban CoC,NA,Overall.Homeless,4062,2007
CA-505,Richmond/Contra Costa County CoC,Largely Suburban CoC,NA,Sheltered.Total.Homeless,903,2007
CA-505,Richmond/Contra Costa County CoC,Largely Suburban CoC,NA,Unsheltered.Homeless,3159,2007
CA-505,Richmond/Contra Costa County CoC,Largely Suburban CoC,NA,Overall.Homeless.Individuals,2892,2007
CA-505,Richmond/Contra Costa County CoC,Largely Suburban CoC,NA,Overall.Homeless.People.in.Families,1170,2007
CA-506,"Salinas/Monterey, San Benito Counties CoC",Largely Rural CoC,NA,Overall.Homeless,1402,2007
CA-506,"Salinas/Monterey, San Benito Counties CoC",Largely Rural CoC,NA,Sheltered.Total.Homeless,509,2007
CA-506,"Salinas/Monterey, San Benito Counties CoC",Largely Rural CoC,NA,Unsheltered.Homeless,893,2007
CA-506,"Salinas/Monterey, San Benito Counties CoC",Largely Rural CoC,NA,Overall.Homeless.Individuals,1149,2007
CA-506,"Salinas/Monterey, San Benito Counties CoC",Largely Rural CoC,NA,Overall.Homeless.People.in.Families,253,2007
CA-507,Marin County CoC,Largely Suburban CoC,NA,Overall.Homeless,1002,2007
CA-507,Marin County CoC,Largely Suburban CoC,NA,Sheltered.Total.Homeless,602,2007
CA-507,Marin County CoC,Largely Suburban CoC,NA,Unsheltered.Homeless,400,2007
CA-507,Marin County CoC,Largely Suburban CoC,NA,Overall.Homeless.Individuals,846,2007
CA-507,Marin County CoC,Largely Suburban CoC,NA,Overall.Homeless.People.in.Families,156,2007
CA-508,Watsonville/Santa Cruz City & County CoC,Largely Suburban CoC,NA,Overall.Homeless,2789,2007
CA-508,Watsonville/Santa Cruz City & County CoC,Largely Suburban CoC,NA,Sheltered.Total.Homeless,486,2007
CA-508,Watsonville/Santa Cruz City & County CoC,Largely Suburban CoC,NA,Unsheltered.Homeless,2303,2007
CA-508,Watsonville/Santa Cruz City & County CoC,Largely Suburban CoC,NA,Overall.Homeless.Individuals,2408,2007
CA-508,Watsonville/Santa Cruz City & County CoC,Largely Suburban CoC,NA,Overall.Homeless.People.in.Families,381,2007
CA-509,Mendocino County CoC,Largely Rural CoC,NA,Overall.Homeless,1422,2007
CA-509,Mendocino County CoC,Largely Rural CoC,NA,Sheltered.Total.Homeless,284,2007
CA-509,Mendocino County CoC,Largely Rural CoC,NA,Unsheltered.Homeless,1138,2007
CA-509,Mendocino County CoC,Largely Rural CoC,NA,Overall.Homeless.Individuals,1192,2007
CA-509,Mendocino County CoC,Largely Rural CoC,NA,Overall.Homeless.People.in.Families,230,2007
CA-510,"Turlock, Modesto/Stanislaus County CoC",Largely Suburban CoC,NA,Overall.Homeless,1593,2007
CA-510,"Turlock, Modesto/Stanislaus County CoC",Largely Suburban CoC,NA,Sheltered.Total.Homeless,634,2007
CA-510,"Turlock, Modesto/Stanislaus County CoC",Largely Suburban CoC,NA,Unsheltered.Homeless,959,2007
CA-510,"Turlock, Modesto/Stanislaus County CoC",Largely Suburban CoC,NA,Overall.Homeless.Individuals,1001,2007
CA-510,"Turlock, Modesto/Stanislaus County CoC",Largely Suburban CoC,NA,Overall.Homeless.People.in.Families,592,2007
CA-511,Stockton/San Joaquin County CoC,Largely Suburban CoC,NA,Overall.Homeless,2479,2007
CA-511,Stockton/San Joaquin County CoC,Largely Suburban CoC,NA,Sheltered.Total.Homeless,2176,2007
CA-511,Stockton/San Joaquin County CoC,Largely Suburban CoC,NA,Unsheltered.Homeless,303,2007
CA-511,Stockton/San Joaquin County CoC,Largely Suburban CoC,NA,Overall.Homeless.Individuals,1657,2007
CA-511,Stockton/San Joaquin County CoC,Largely Suburban CoC,NA,Overall.Homeless.People.in.Families,822,2007
CA-512,Daly/San Mateo County CoC,Largely Suburban CoC,NA,Overall.Homeless,1798,2007
CA-512,Daly/San Mateo County CoC,Largely Suburban CoC,NA,Sheltered.Total.Homeless,704,2007
CA-512,Daly/San Mateo County CoC,Largely Suburban CoC,NA,Unsheltered.Homeless,1094,2007
CA-512,Daly/San Mateo County CoC,Largely Suburban CoC,NA,Overall.Homeless.Individuals,1388,2007
CA-512,Daly/San Mateo County CoC,Largely Suburban CoC,NA,Overall.Homeless.People.in.Families,410,2007
CA-513,"Visalia/Kings, Tulare Counties CoC",Largely Suburban CoC,NA,Overall.Homeless,1106,2007
CA-513,"Visalia/Kings, Tulare Counties CoC",Largely Suburban CoC,NA,Sheltered.Total.Homeless,280,2007
CA-513,"Visalia/Kings, Tulare Counties CoC",Largely Suburban CoC,NA,Unsheltered.Homeless,826,2007
CA-513,"Visalia/Kings, Tulare Counties CoC",Largely Suburban CoC,NA,Overall.Homeless.Individuals,537,2007
CA-513,"Visalia/Kings, Tulare Counties CoC",Largely Suburban CoC,NA,Overall.Homeless.People.in.Families,569,2007
CA-514,Fresno City & County/Madera County CoC,Major City CoC,NA,Overall.Homeless,4247,2007
CA-514,Fresno City & County/Madera County CoC,Major City CoC,NA,Sheltered.Total.Homeless,2735,2007
CA-514,Fresno City & County/Madera County CoC,Major City CoC,NA,Unsheltered.Homeless,1512,2007
CA-514,Fresno City & County/Madera County CoC,Major City CoC,NA,Overall.Homeless.Individuals,2666,2007
CA-514,Fresno City & County/Madera County CoC,Major City CoC,NA,Overall.Homeless.People.in.Families,1581,2007
CA-515,"Roseville, Rocklin/Placer County CoC",Largely Suburban CoC,NA,Overall.Homeless,587,2007
CA-515,"Roseville, Rocklin/Placer County CoC",Largely Suburban CoC,NA,Sheltered.Total.Homeless,450,2007
CA-515,"Roseville, Rocklin/Placer County CoC",Largely Suburban CoC,NA,Unsheltered.Homeless,137,2007
CA-515,"Roseville, Rocklin/Placer County CoC",Largely Suburban CoC,NA,Overall.Homeless.Individuals,368,2007
CA-515,"Roseville, Rocklin/Placer County CoC",Largely Suburban CoC,NA,Overall.Homeless.People.in.Families,219,2007
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Largely Rural CoC,NA,Overall.Homeless,296,2007
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Largely Rural CoC,NA,Sheltered.Total.Homeless,250,2007
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Largely Rural CoC,NA,Unsheltered.Homeless,46,2007
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Largely Rural CoC,NA,Overall.Homeless.Individuals,147,2007
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Largely Rural CoC,NA,Overall.Homeless.People.in.Families,149,2007
CA-517,Napa City & County CoC,Other Largely Urban CoC,NA,Overall.Homeless,365,2007
CA-517,Napa City & County CoC,Other Largely Urban CoC,NA,Sheltered.Total.Homeless,219,2007
CA-517,Napa City & County CoC,Other Largely Urban CoC,NA,Unsheltered.Homeless,146,2007
CA-517,Napa City & County CoC,Other Largely Urban CoC,NA,Overall.Homeless.Individuals,236,2007
CA-517,Napa City & County CoC,Other Largely Urban CoC,NA,Overall.Homeless.People.in.Families,129,2007
CA-518,Vallejo/Solano County CoC,Largely Suburban CoC,NA,Overall.Homeless,1956,2007
CA-518,Vallejo/Solano County CoC,Largely Suburban CoC,NA,Sheltered.Total.Homeless,457,2007
CA-518,Vallejo/Solano County CoC,Largely Suburban CoC,NA,Unsheltered.Homeless,1499,2007
CA-518,Vallejo/Solano County CoC,Largely Suburban CoC,NA,Overall.Homeless.Individuals,818,2007
CA-518,Vallejo/Solano County CoC,Largely Suburban CoC,NA,Overall.Homeless.People.in.Families,1138,2007
CA-519,"Chico, Paradise/Butte County CoC",Largely Rural CoC,NA,Overall.Homeless,1478,2007
CA-519,"Chico, Paradise/Butte County CoC",Largely Rural CoC,NA,Sheltered.Total.Homeless,936,2007
CA-519,"Chico, Paradise/Butte County CoC",Largely Rural CoC,NA,Unsheltered.Homeless,542,2007
CA-519,"Chico, Paradise/Butte County CoC",Largely Rural CoC,NA,Overall.Homeless.Individuals,1057,2007
CA-519,"Chico, Paradise/Butte County CoC",Largely Rural CoC,NA,Overall.Homeless.People.in.Families,421,2007
CA-520,Merced City & County CoC,Largely Suburban CoC,NA,Overall.Homeless,2641,2007
CA-520,Merced City & County CoC,Largely Suburban CoC,NA,Sheltered.Total.Homeless,221,2007
CA-520,Merced City & County CoC,Largely Suburban CoC,NA,Unsheltered.Homeless,2420,2007
CA-520,Merced City & County CoC,Largely Suburban CoC,NA,Overall.Homeless.Individuals,2195,2007
CA-520,Merced City & County CoC,Largely Suburban CoC,NA,Overall.Homeless.People.in.Families,446,2007
CA-521,"Davis, Woodland/Yolo County CoC",Largely Suburban CoC,NA,Overall.Homeless,414,2007
CA-521,"Davis, Woodland/Yolo County CoC",Largely Suburban CoC,NA,Sheltered.Total.Homeless,228,2007
CA-521,"Davis, Woodland/Yolo County CoC",Largely Suburban CoC,NA,Unsheltered.Homeless,186,2007
CA-521,"Davis, Woodland/Yolo County CoC",Largely Suburban CoC,NA,Overall.Homeless.Individuals,292,2007
CA-521,"Davis, Woodland/Yolo County CoC",Largely Suburban CoC,NA,Overall.Homeless.People.in.Families,122,2007
CA-522,Humboldt County CoC,Largely Rural CoC,NA,Overall.Homeless,907,2007
CA-522,Humboldt County CoC,Largely Rural CoC,NA,Sheltered.Total.Homeless,322,2007
CA-522,Humboldt County CoC,Largely Rural CoC,NA,Unsheltered.Homeless,585,2007
CA-522,Humboldt County CoC,Largely Rural CoC,NA,Overall.Homeless.Individuals,366,2007
CA-522,Humboldt County CoC,Largely Rural CoC,NA,Overall.Homeless.People.in.Families,541,2007
CA-523,"Colusa, Glenn, Trinity Counties CoC",Largely Rural CoC,NA,Overall.Homeless,155,2007
CA-523,"Colusa, Glenn, Trinity Counties CoC",Largely Rural CoC,NA,Sheltered.Total.Homeless,54,2007
CA-523,"Colusa, Glenn, Trinity Counties CoC",Largely Rural CoC,NA,Unsheltered.Homeless,101,2007
CA-523,"Colusa, Glenn, Trinity Counties CoC",Largely Rural CoC,NA,Overall.Homeless.Individuals,61,2007
CA-523,"Colusa, Glenn, Trinity Counties CoC",Largely Rural CoC,NA,Overall.Homeless.People.in.Families,94,2007
CA-524,Yuba City & County/Sutter County CoC,Largely Suburban CoC,NA,Overall.Homeless,362,2007
CA-524,Yuba City & County/Sutter County CoC,Largely Suburban CoC,NA,Sheltered.Total.Homeless,299,2007
CA-524,Yuba City & County/Sutter County CoC,Largely Suburban CoC,NA,Unsheltered.Homeless,63,2007
CA-524,Yuba City & County/Sutter County CoC,Largely Suburban CoC,NA,Overall.Homeless.Individuals,212,2007
CA-524,Yuba City & County/Sutter County CoC,Largely Suburban CoC,NA,Overall.Homeless.People.in.Families,150,2007
CA-525,El Dorado County CoC,Largely Suburban CoC,NA,Overall.Homeless,107,2007
CA-525,El Dorado County CoC,Largely Suburban CoC,NA,Sheltered.Total.Homeless,91,2007
CA-525,El Dorado County CoC,Largely Suburban CoC,NA,Unsheltered.Homeless,16,2007
CA-525,El Dorado County CoC,Largely Suburban CoC,NA,Overall.Homeless.Individuals,65,2007
CA-525,El Dorado County CoC,Largely Suburban CoC,NA,Overall.Homeless.People.in.Families,42,2007
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Largely Rural CoC,NA,Overall.Homeless,400,2007
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Largely Rural CoC,NA,Sheltered.Total.Homeless,79,2007
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Largely Rural CoC,NA,Unsheltered.Homeless,321,2007
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Largely Rural CoC,NA,Overall.Homeless.Individuals,252,2007
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Largely Rural CoC,NA,Overall.Homeless.People.in.Families,148,2007
CA-600,Los Angeles City & County CoC,Major City CoC,NA,Overall.Homeless,47862,2007
CA-600,Los Angeles City & County CoC,Major City CoC,NA,Sheltered.Total.Homeless,11442,2007
CA-600,Los Angeles City & County CoC,Major City CoC,NA,Unsheltered.Homeless,36420,2007
CA-600,Los Angeles City & County CoC,Major City CoC,NA,Overall.Homeless.Individuals,44185,2007
CA-600,Los Angeles City & County CoC,Major City CoC,NA,Overall.Homeless.People.in.Families,3677,2007
CA-601,San Diego City and County CoC,Major City CoC,NA,Overall.Homeless,7326,2007
CA-601,San Diego City and County CoC,Major City CoC,NA,Sheltered.Total.Homeless,3981,2007
CA-601,San Diego City and County CoC,Major City CoC,NA,Unsheltered.Homeless,3345,2007
CA-601,San Diego City and County CoC,Major City CoC,NA,Overall.Homeless.Individuals,5295,2007
CA-601,San Diego City and County CoC,Major City CoC,NA,Overall.Homeless.People.in.Families,2031,2007
CA-602,"Santa Ana, Anaheim/Orange County CoC",Largely Suburban CoC,NA,Overall.Homeless,3649,2007
CA-602,"Santa Ana, Anaheim/Orange County CoC",Largely Suburban CoC,NA,Sheltered.Total.Homeless,2578,2007
CA-602,"Santa Ana, Anaheim/Orange County CoC",Largely Suburban CoC,NA,Unsheltered.Homeless,1071,2007
CA-602,"Santa Ana, Anaheim/Orange County CoC",Largely Suburban CoC,NA,Overall.Homeless.Individuals,2112,2007
CA-602,"Santa Ana, Anaheim/Orange County CoC",Largely Suburban CoC,NA,Overall.Homeless.People.in.Families,1537,2007
CA-603,Santa Maria/Santa Barbara County CoC,Largely Suburban CoC,NA,Overall.Homeless,4253,2007
CA-603,Santa Maria/Santa Barbara County CoC,Largely Suburban CoC,NA,Sheltered.Total.Homeless,1480,2007
CA-603,Santa Maria/Santa Barbara County CoC,Largely Suburban CoC,NA,Unsheltered.Homeless,2773,2007
